Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,47.436001,47.436001,47.423000,47.423000,47.423000,0
2018-07-02,47.723000,47.723000,47.604000,47.604000,47.604000,2
2018-07-03,47.452000,47.548000,47.452000,47.548000,47.548000,0
2018-07-04,47.618000,47.618000,47.618000,47.618000,47.618000,0
2018-07-05,47.396000,47.448002,47.396000,47.448002,47.448002,0
2018-07-06,47.405998,47.405998,47.312000,47.312000,47.312000,0
2018-07-09,47.299000,47.299000,47.278000,47.278000,47.278000,0
2018-07-10,47.187000,47.268002,47.187000,47.268002,47.268002,0
2018-07-11,47.354000,47.354000,47.272999,47.272999,47.272999,0
2018-07-12,47.297001,47.297001,47.297001,47.297001,47.297001,17
